id,title,description,category_label,is_synthetic,difficulty
21,Registration update pending,PhD registration complete karne ke baad bhi portal par status pending hai.,Registration,True,hard
12,Admission process delay,"Maine time par application submit ki thi, phir bhi process pending hai.",PhD_Admission,True,hard
95,RAC case pending,Mera research case advisory committee action ka wait kar raha hai.,RAC,True,hard
118,Degree committee problem,Meri proposal review process ka next step confirm nahi hua.,RDC,True,hard
188,Viva date problem,Required formalities complete hain but examination date pending hai.,Viva,True,hard
80,Course requirement problem,Required research course ki completion portal par update nahi hui.,Course_Work,True,hard
163,Evaluation ka status,Meri thesis assessment process mein koi progress nahi dikh rahi.,Thesis_Evaluation,True,hard
32,PhD registration delay,Formalities complete hone ke baad bhi registration process ruk gaya hai.,Registration,True,hard
167,Thesis assessment,Please tell me the current status of my thesis evaluation.,Thesis_Evaluation,True,hard
310,Unclassified problem,Meri request ka exact category decide nahi ho pa raha.,Other,True,hard
238,Fee transaction problem,Payment successful hone ke baad acknowledgement nahi mila.,Fee,True,hard
103,Committee approval pending,Proposal submit karne ke baad approval ka wait kar raha hoon.,RDC,True,hard
275,Profile data problem,Mere official documents ke according portal information change karni hai.,Portal_Data_Correction,True,hard
129,Paper verification delay,Journal paper ki checking ka process kaafi time se pending hai.,Publication_Verification,True,hard
144,Thesis receipt pending,"Maine thesis submit ki thi, acknowledgement abhi tak nahi mila.",Thesis_Submission,True,hard
162,Thesis review pending,Thesis submit hone ke baad evaluation ka update abhi tak nahi mila.,Thesis_Evaluation,True,hard
287,IIGRS update,Complaint submit karne ke baad concerned authority se response nahi mila.,RTI_IIGRS,True,hard
210,Part-time conversion,Required papers submit hain but full-time to part-time change reflect nahi hua.,FT_PT_Conversion,True,hard
168,Thesis assessment,Kindly tell me the current status of my thesis evaluation.,Thesis_Evaluation,True,hard
151,Thesis acknowledgement,Please confirm whether my final thesis has been received.,Thesis_Submission,True,hard
73,Credits not showing,Mere completed research courses ke credits reflect nahi ho rahe.,Course_Work,True,hard
243,Fellowship pending,Mera monthly research payment abhi tak receive nahi hua.,Fellowship,True,hard
