id,title,description,category,category_label,is_synthetic,split,text,cluster_id
2385,Research fee status pending,My doctoral fee record appears to contain an incorrect amount. The issue is preventing completion of the required process.,Fee,Fee,True,train,Research fee status pending. My doctoral fee record appears to contain an incorrect amount. The issue is preventing completion of the required process.,6
2539,Stipend not credited,My research fellowship payment requires clarification. The previous payments were processed normally.,Fellowship,Fellowship,True,validation,Stipend not credited. My research fellowship payment requires clarification. The previous payments were processed normally.,14
2177,Problem with research status conversion,My request to convert from full-time to part-time is still pending. The supporting documents have already been provided.,FT_PT_Conversion,FT_PT_Conversion,True,validation,Problem with research status conversion. My request to convert from full-time to part-time is still pending. The supporting documents have already been provided.,10
898,RAC meeting issue,My rac schedule requires review. I submitted the relevant research documents.,RAC,RAC,True,train,RAC meeting issue. My rac schedule requires review. I submitted the relevant research documents.,4
215,PhD registration issue,My enrollment record is showing an error. I need the registration to be completed for my research work.,Registration,Registration,True,train,PhD registration issue. My enrollment record is showing an error. I need the registration to be completed for my research work.,13
2381,Research fee status pending,My semester research fee is showing as unpaid. I have the transaction details available.,Fee,Fee,True,train,Research fee status pending. My semester research fee is showing as unpaid. I have the transaction details available.,6
2715,Research portal details need correction,The information displayed in my account does not match my official documents. I request the concerned office to update the record.,Portal_Data_Correction,Portal_Data_Correction,True,train,Research portal details need correction. The information displayed in my account does not match my official documents. I request the concerned office to update the record.,9
2577,Fellowship payment delayed,My scholarship payment has not been credited. I have completed the required fellowship formalities.,Fellowship,Fellowship,True,train,Fellowship payment delayed. My scholarship payment has not been credited. I have completed the required fellowship formalities.,14
103,PhD admission approval delayed,My phd admission approval has not moved to the next stage. I have not received any further update.,PhD_Admission,PhD_Admission,True,train,PhD admission approval delayed. My phd admission approval has not moved to the next stage. I have not received any further update.,12
193,PhD admission approval delayed,The doctoral admission process is awaiting verification. I have not received any further update.,PhD_Admission,PhD_Admission,True,validation,PhD admission approval delayed. The doctoral admission process is awaiting verification. I have not received any further update.,12
1448,Thesis submission not updated,The doctoral thesis submission record has not been acknowledged. I submitted the required documents successfully.,Thesis_Submission,Thesis_Submission,True,train,Thesis submission not updated. The doctoral thesis submission record has not been acknowledged. I submitted the required documents successfully.,7
230,PhD registration issue,My enrollment record cannot be completed. I have completed the required registration steps.,Registration,Registration,True,train,PhD registration issue. My enrollment record cannot be completed. I have completed the required registration steps.,13
777,Issue with research classes,The coursework marks in the portal cannot be completed due to a portal issue. I completed the required academic activities.,Course_Work,Course_Work,True,train,Issue with research classes. The coursework marks in the portal cannot be completed due to a portal issue. I completed the required academic activities.,0
1237,Publication verification not completed,The publication documents submitted for verification is still pending. I need the verification for my academic record.,Publication_Verification,Publication_Verification,True,test,Publication verification not completed. The publication documents submitted for verification is still pending. I need the verification for my academic record.,3
2583,Fellowship payment delayed,My monthly stipend is still pending. The previous payments were processed normally.,Fellowship,Fellowship,True,train,Fellowship payment delayed. My monthly stipend is still pending. The previous payments were processed normally.,14
18,Admission application not updated,My phd admission approval is still pending. I submitted all required documents on time.,PhD_Admission,PhD_Admission,True,train,Admission application not updated. My phd admission approval is still pending. I submitted all required documents on time.,12
1128,Research Degree Committee issue,My rdc proposal requires clarification. The matter was submitted through the prescribed process.,RDC,RDC,True,test,Research Degree Committee issue. My rdc proposal requires clarification. The matter was submitted through the prescribed process.,11
171,Unable to complete PhD admission,My doctoral admission application is awaiting verification. I have not received any further update.,PhD_Admission,PhD_Admission,True,validation,Unable to complete PhD admission. My doctoral admission application is awaiting verification. I have not received any further update.,12
2248,Research fee status pending,The fee receipt is not reflected. I need the fee record corrected.,Fee,Fee,True,train,Research fee status pending. The fee receipt is not reflected. I need the fee record corrected.,6
1092,RDC approval pending,My research degree committee review appears to be awaiting review. I have been waiting for the committee's decision.,RDC,RDC,True,train,RDC approval pending. My research degree committee review appears to be awaiting review. I have been waiting for the committee's decision.,11
606,Course work credit issue,My registered research courses are still pending. The concerned course has already been completed.,Course_Work,Course_Work,True,train,Course work credit issue. My registered research courses are still pending. The concerned course has already been completed.,0
1458,Problem submitting doctoral thesis,My thesis upload is not visible in the portal. I need confirmation that the submission was received.,Thesis_Submission,Thesis_Submission,True,train,Problem submitting doctoral thesis. My thesis upload is not visible in the portal. I need confirmation that the submission was received.,7
